timestamp,item_id,value,value__c3__lag_2,value__c3__lag_1
2025-01-01,A,1.2204776130286483,231386.044834,233539.021811
2025-01-02,A,-4.105236963927517,231386.044834,233539.021811
2025-01-03,A,3.558599919566798,231386.044834,233539.021811
2025-01-04,A,0.951608588114083,231386.044834,233539.021811
2025-01-05,A,6.348776348465375,231386.044834,233539.021811
2025-01-06,A,13.402865970143855,-12.3927,17.685441
2025-01-07,A,14.985051385067658,143.097122,340.919142
2025-01-08,A,16.158896303462807,272.32436,1155.743459
2025-01-09,A,22.23482917846686,1160.722142,2496.364492
2025-01-10,A,25.79387148399329,3850.835162,4792.99292
2025-01-11,A,22.49715953245473,6541.075525,7699.872495
2025-01-12,A,23.04561434721707,8550.626671,10231.80188
2025-01-13,A,14.21440860791266,8357.881014,10728.209618
2025-01-14,A,22.14268207646772,10136.368701,10224.711393
2025-01-15,A,28.131701266624376,11079.230837,9212.634574
2025-01-16,A,26.63878984938836,11294.808256,10017.75728
2025-01-17,A,20.79246383423634,10953.975237,12070.793039
2025-01-18,A,29.43152457684069,12837.353396,14332.847218
2025-01-19,A,37.5896556166656,19673.764404,17870.052406
2025-01-20,A,32.89297710105185,23887.988622,22819.198272
2025-01-21,A,40.61478448808095,28766.262419,31478.15106
2025-01-22,A,44.693623111314,37505.618374,42329.736012
2025-01-23,A,44.53148194644377,55626.747545,56787.581817
2025-01-24,A,45.7746094454793,67639.783735,70466.030444
2025-01-25,A,52.81641140487056,81409.617204,84827.029321
2025-01-26,A,48.38598290515753,97257.66958,99145.116668
2025-01-27,A,63.37861704962971,124027.857807,119428.672823
2025-01-28,A,52.28394074127095,132433.563297,136736.640036
2025-01-29,A,46.22900755979953,135274.738323,148118.328007
2025-01-30,A,58.19332715426608,150983.235595,154037.050445
2025-01-31,A,65.31118172236735,169287.640334,157470.22222
2025-02-01,A,62.74675313721946,191134.511123,177006.263035
2025-02-02,A,65.99986956656653,195091.647125,206327.116217
2025-02-03,A,60.16228949874155,209475.31521,233450.477881
2025-02-04,A,69.28137200205921,259159.263407,258299.062373
2025-02-05,A,75.96812493820514,292709.090485,277840.237338
2025-02-06,A,71.46676205038014,306782.475342,304257.840475
2025-02-07,A,78.11094587865477,341892.854006,347990.563111
2025-02-08,A,79.82378603963049,376116.138765,390617.426951
2025-02-09,A,79.69188623194258,434059.886847,435678.196247
2025-02-10,A,80.18845960016685,465170.977326,469168.534805
2025-02-11,A,92.7924342041702,517535.029934,511393.115516
2025-02-12,A,84.6713501543497,559795.960555,557499.698233
2025-02-13,A,79.74874747699467,565851.57155,589921.450275
2025-02-14,A,89.39154821419774,598332.522208,613298.211462
2025-02-15,A,98.08193059454304,666376.425658,639856.909952
2025-02-16,A,93.6184186806312,717201.45498,687553.971017
2025-02-17,A,100.96297195619086,749156.065009,762677.720744
2025-02-18,A,107.90700199988764,846382.111219,866759.163575
2025-02-19,A,92.84145641352762,911208.323831,944823.879824
